category,intent,user_input,bot_response,complexity,tone,context
error,merge_conflict,How to prevent merge conflicts?,Prevent conflicts by communicating with team and frequently pulling changes.,simple,formal,beginner
git,commit,How to write commit messages?,Write clear commit messages describing what changed and why.,medium,formal,advanced
git,branch,What is git checkout?,Git checkout is used to switch branches or restore files.,simple,formal,advanced
github,pull_request,What is a PR?,A PR (Pull Request) is a way to propose changes to a repository.,simple,formal,intermediate
error,merge_conflict,"Got merge conflict, what now?","Open the conflicting files, choose which changes to keep, then commit.",complex,technical,advanced
git,branch,How to rename a branch?,Rename a branch using 'git branch -m new-name'.,simple,formal,advanced
error,merge_conflict,How to resolve merge conflicts?,"Resolve conflicts by editing the conflicting files, then git add and commit.",medium,formal,intermediate
git,commit,How to write commit messages?,Write clear commit messages describing what changed and why.,complex,formal,advanced
github,pull_request,How to review PRs?,"Review PRs by examining code changes, leaving comments, and suggesting improvements.",simple,formal,intermediate
github,pull_request,How to review PRs?,"Review PRs by examining code changes, leaving comments, and suggesting improvements.",medium,formal,advanced
github,pull_request,How do I create a pull request?,Create a PR by pushing your branch and clicking 'New pull request' on GitHub.,medium,formal,beginner
git,branch,How do I create a branch?,Create a new branch with 'git branch branch-name' or 'git checkout -b branch-name'.,simple,informal,advanced
error,merge_conflict,How to resolve merge conflicts?,"Resolve conflicts by editing the conflicting files, then git add and commit.",medium,informal,advanced
git,commit,What's the command to commit?,Use 'git commit' to save your changes. Add a message with -m flag.,simple,technical,beginner
git,branch,How to rename a branch?,Rename a branch using 'git branch -m new-name'.,medium,formal,beginner
greeting,welcome,Hello,Hello! How can I help you with Git or GitHub today?,medium,technical,beginner
greeting,welcome,Hey,Hey there! What would you like to learn about Git/GitHub?,medium,formal,advanced
error,merge_conflict,Tools for resolving conflicts?,Use tools like VS Code or GitKraken to resolve conflicts visually.,medium,formal,beginner
git,commit,How to write commit messages?,Write clear commit messages describing what changed and why.,simple,informal,advanced
github,pull_request,What is a PR?,A PR (Pull Request) is a way to propose changes to a repository.,complex,formal,beginner
github,pull_request,Can I modify a pull request?,"Yes, you can modify a PR by pushing new commits to its branch.",complex,technical,intermediate
error,merge_conflict,"Got merge conflict, what now?","Open the conflicting files, choose which changes to keep, then commit.",medium,informal,intermediate
git,commit,What is git commit -m?,"The -m flag lets you add a commit message directly: git commit -m ""fix: bug fixed""",medium,informal,beginner
git,branch,How to delete a branch?,Delete a branch with 'git branch -d branch-name'.,medium,informal,intermediate
github,pull_request,How to review PRs?,"Review PRs by examining code changes, leaving comments, and suggesting improvements.",medium,formal,intermediate
greeting,welcome,Hey,Hey there! What would you like to learn about Git/GitHub?,medium,formal,advanced
greeting,welcome,Hello,Hello! How can I help you with Git or GitHub today?,medium,technical,beginner
github,pull_request,How to merge a pull request?,Merge a pull request by clicking the 'Merge' button after review.,simple,informal,advanced
github,pull_request,How to review PRs?,"Review PRs by examining code changes, leaving comments, and suggesting improvements.",complex,formal,advanced
git,branch,How to delete a branch?,Delete a branch with 'git branch -d branch-name'.,medium,informal,advanced
greeting,welcome,Hey,Hey there! What would you like to learn about Git/GitHub?,medium,technical,beginner
github,pull_request,How to merge a pull request?,Merge a pull request by clicking the 'Merge' button after review.,simple,formal,beginner
greeting,welcome,Good morning,Good morning! How can I assist you with version control today?,medium,technical,beginner
github,pull_request,How do I create a pull request?,Create a PR by pushing your branch and clicking 'New pull request' on GitHub.,medium,formal,intermediate
error,merge_conflict,How to prevent merge conflicts?,Prevent conflicts by communicating with team and frequently pulling changes.,simple,formal,intermediate
github,pull_request,How to review PRs?,"Review PRs by examining code changes, leaving comments, and suggesting improvements.",complex,technical,advanced
greeting,welcome,Hey,Hey there! What would you like to learn about Git/GitHub?,medium,technical,beginner
git,commit,What's the command to commit?,Use 'git commit' to save your changes. Add a message with -m flag.,simple,formal,intermediate
greeting,welcome,Hi there,Hi! I'm here to assist with your Git and GitHub questions.,complex,formal,intermediate
github,pull_request,How to review PRs?,"Review PRs by examining code changes, leaving comments, and suggesting improvements.",simple,informal,beginner
github,pull_request,Can I modify a pull request?,"Yes, you can modify a PR by pushing new commits to its branch.",simple,formal,advanced
github,pull_request,How to merge a pull request?,Merge a pull request by clicking the 'Merge' button after review.,complex,technical,beginner
